Mortgage ID,Customer ID,Bank ID,Origination Date,Maturity Date,City,State,Property Type,Loan Purpose,Property Value (INR),Original Loan Amount (INR),Down Payment (INR),Loan Term (Years),Interest Rate (%),Rate Type,Current Balance (INR),Monthly EMI (INR),Current LTV (%),Credit Score,Last Payment Date,Last Payment Amount (INR),Next Payment Due Date,Payment Status,Days Past Due,Income to EMI Ratio (%),Auto Debit Enabled,Insurance With Bank
MORT500001,CUST10001,SBI001,2025-04-15,2050-04-15,Bhubaneswar,Odisha,Plot + Construction,Balance Transfer,15970000,9531000,6439000,25,7.28,Fixed,9305095,69075.04,58.27,846,2026-08-29,70935.07,2026-09-24,Current,0,38.0,Yes,Yes
MORT500002,CUST10002,KOTAK001,2019-12-26,2039-12-26,Pune,Maharashtra,Apartment,Home Purchase,12219000,7788000,4431000,20,7.54,Floating,5976840,62930.22,48.91,802,2026-09-08,64377.43,2026-09-25,Current,0,31.2,Yes,Yes
MORT500003,CUST10003,KOTAK001,2022-09-14,2047-09-14,Chennai,Tamil Nadu,Villa,Home Construction,9354000,5419000,3935000,25,8.49,Floating,5074587,43598.74,54.25,805,2026-08-29,43964.32,2026-09-22,Current,0,40.9,Yes,Yes
MORT500004,CUST10004,SBI001,2022-02-10,2047-02-10,Chennai,Tamil Nadu,Apartment,Home Purchase,15953000,13186000,2767000,25,7.72,Fixed,12211642,99338.09,76.55,692,2026-07-20,101467.58,2026-08-18,Current,0,54.9,Yes,No
MORT500005,CUST10005,AXIS001,2022-09-15,2037-09-15,Pune,Maharashtra,Villa,Home Construction,2852000,1931000,921000,15,8.02,Floating,1537939,18475.94,53.92,816,2026-07-20,18707.89,2026-08-10,Current,0,35.2,Yes,Yes
MORT500006,CUST10006,KOTAK001,2022-02-01,2032-02-01,Pune,Maharashtra,Independent House,Home Purchase,9497000,6150000,3347000,10,9.11,Floating,3859275,78272.19,40.64,811,2026-07-18,80029.07,2026-08-15,Current,0,52.2,No,Yes
MORT500007,CUST10007,ICICI001,2024-07-27,2044-07-27,Bengaluru,Karnataka,Villa,Home Purchase,12120000,6758000,5362000,20,7.2,Fixed,6343195,53209.07,52.34,765,2026-07-15,28588.11,2026-08-13,30_DPD,52,32.1,Yes,Yes
MORT500008,CUST10008,ICICI001,2020-10-13,2040-10-13,Jaipur,Rajasthan,Independent House,Home Purchase,4874000,3348000,1526000,20,8.41,Floating,2752343,28864.29,56.47,650,2026-07-23,28679.75,2026-08-07,Current,0,21.9,Yes,Yes
MORT500009,CUST10009,SBI001,2023-09-03,2033-09-03,Chennai,Tamil Nadu,Plot + Construction,Home Purchase,13992000,9448000,4544000,10,7.48,Floating,6555451,112050.83,46.85,751,2026-07-20,110173.38,2026-08-20,Current,0,27.1,No,Yes
MORT500010,CUST10010,KOTAK001,2025-02-03,2045-02-03,Kolkata,West Bengal,Plot + Construction,Home Purchase,8909000,4999000,3910000,20,8.68,Floating,4858546,43953.67,54.54,782,2026-06-29,44570.57,2026-08-01,Current,0,34.7,Yes,No
MORT500011,CUST10011,ICICI001,2024-07-04,2039-07-04,Delhi,Delhi,Plot + Construction,Home Purchase,10817000,6735000,4082000,15,8.58,Floating,6231013,66638.42,57.6,826,2026-08-07,67624.04,2026-08-27,Current,0,27.7,No,Yes
MORT500012,CUST10012,PNB001,2022-03-26,2042-03-26,Mumbai,Maharashtra,Independent House,Home Purchase,7596000,5648000,1948000,20,9.28,Fixed,5103651,51838.03,67.19,738,2026-07-24,53197.98,2026-08-25,Current,0,20.0,Yes,Yes
MORT500013,CUST10013,ICICI001,2022-10-16,2042-10-16,Kolkata,West Bengal,Apartment,Home Purchase,14417000,8975000,5442000,20,9.93,Fixed,8203908,86194.86,56.9,691,2026-08-05,87237.95,2026-08-20,Current,0,52.0,Yes,Yes
MORT500014,CUST10014,HDFC001,2024-08-20,2044-08-20,Mumbai,Maharashtra,Independent House,Home Purchase,10876000,9049000,1827000,20,7.99,Floating,8632100,75633.15,79.37,687,2026-08-22,76813.71,2026-09-09,Current,0,49.5,Yes,Yes
MORT500015,CUST10015,HDFC001,2022-08-08,2047-08-08,Delhi,Delhi,Apartment,Home Purchase,17296000,12462000,4834000,25,8.26,Fixed,11643903,98339.95,67.32,808,2026-09-06,99209.78,2026-09-21,Current,0,46.0,Yes,Yes
MORT500016,CUST10016,ICICI001,2021-04-03,2046-04-03,Pune,Maharashtra,Plot + Construction,Home Construction,3481000,2953000,528000,25,7.98,Floating,2700733,22752.62,77.58,746,2026-07-24,22926.41,2026-08-24,Current,0,25.9,Yes,Yes
MORT500017,CUST10017,HDFC001,2025-05-23,2040-05-23,Chennai,Tamil Nadu,Villa,Home Purchase,13419000,8881000,4538000,15,9.76,Floating,8557595,94135.97,63.77,696,2026-08-02,96247.77,2026-09-02,Current,0,24.2,Yes,Yes
MORT500018,CUST10018,ICICI001,2025-10-23,2045-10-23,Hyderabad,Telangana,Villa,Home Purchase,8265000,6062000,2203000,20,7.12,Fixed,5882642,47436.26,71.18,836,2026-08-15,46607.95,2026-09-14,Current,0,22.4,Yes,Yes
MORT500019,CUST10019,AXIS001,2020-02-23,2040-02-23,Delhi,Delhi,Independent House,Home Purchase,9883000,5895000,3988000,20,9.74,Floating,4980290,55876.3,50.39,779,2026-08-26,57455.5,2026-09-21,Current,0,45.3,Yes,Yes
MORT500020,CUST10020,PNB001,2022-03-23,2037-03-23,Pune,Maharashtra,Villa,Home Purchase,5487000,4614000,873000,15,7.23,Floating,3686872,42067.49,67.19,656,2026-08-07,41613.87,2026-08-26,Current,0,52.5,Yes,Yes
MORT500021,CUST10021,ICICI001,2022-05-01,2037-05-01,Bhubaneswar,Odisha,Apartment,Home Purchase,6020000,3763000,2257000,15,9.35,Floating,3104611,38954.29,51.57,774,2026-08-05,38657.72,2026-08-22,Current,0,35.1,Yes,No
MORT500022,CUST10022,AXIS001,2023-12-05,2038-12-05,Bhubaneswar,Odisha,Independent House,Home Purchase,9507000,8023000,1484000,15,7.15,Fixed,6737944,72787.48,70.87,850,2026-07-12,74786.03,2026-08-05,Current,0,24.2,Yes,No
MORT500023,CUST10023,ICICI001,2020-10-19,2040-10-19,Mumbai,Maharashtra,Villa,Balance Transfer,21771000,16276000,5495000,20,7.32,Fixed,13285972,129332.8,61.03,763,2026-09-01,87293.4,2026-09-18,60_DPD,83,37.9,Yes,Yes
MORT500024,CUST10024,SBI001,2021-01-01,2041-01-01,Mumbai,Maharashtra,Independent House,Home Purchase,7150000,4520000,2630000,20,8.29,Floating,3949597,38626.93,55.24,738,2026-08-04,38598.72,2026-08-26,Current,0,32.2,No,Yes
MORT500025,CUST10025,SBI001,2021-09-07,2036-09-07,Ahmedabad,Gujarat,Apartment,Home Construction,18177000,13427000,4750000,15,9.42,Floating,10600995,139560.61,58.32,638,2026-07-31,139648.66,2026-08-17,Current,0,33.1,Yes,No
MORT500026,CUST10026,KOTAK001,2025-05-12,2045-05-12,Ahmedabad,Gujarat,Apartment,Home Construction,19395000,15058000,4337000,20,9.94,Fixed,14740212,144714.87,76.0,836,2026-07-19,142207.58,2026-08-19,Current,0,41.7,No,Yes
MORT500027,CUST10027,PNB001,2019-07-14,2039-07-14,Ahmedabad,Gujarat,Villa,Home Purchase,13357000,9322000,4035000,20,7.39,Fixed,7127928,74471.64,53.36,680,2026-07-11,73320.97,2026-08-07,60_DPD,75,45.2,Yes,No
MORT500028,CUST10028,SBI001,2021-07-11,2046-07-11,Kolkata,West Bengal,Independent House,Home Purchase,24295000,18377000,5918000,25,9.83,Floating,17159748,164794.74,70.63,774,2026-08-18,168270.75,2026-09-10,Current,0,23.9,Yes,No
MORT500029,CUST10029,PNB001,2023-06-19,2043-06-19,Hyderabad,Telangana,Villa,Home Purchase,21921000,17846000,4075000,20,9.96,Floating,16763350,171745.08,76.47,720,2026-08-14,176093.27,2026-09-07,Current,0,21.2,Yes,Yes
MORT500030,CUST10030,PNB001,2020-12-26,2045-12-26,Ahmedabad,Gujarat,Independent House,Home Purchase,19762000,15747000,4015000,25,9.25,Floating,14189092,134854.45,71.8,748,2026-08-10,133665.0,2026-08-25,Current,0,54.8,Yes,Yes
MORT500031,CUST10031,AXIS001,2023-05-16,2043-05-16,Ahmedabad,Gujarat,Independent House,Balance Transfer,24842000,14213000,10629000,20,10.15,Floating,0,138574.02,0.0,721,2026-09-05,59208.22,2026-09-22,Closed,0,28.1,Yes,No
MORT500032,CUST10032,KOTAK001,2024-12-24,2044-12-24,Bhubaneswar,Odisha,Plot + Construction,Home Purchase,8741000,5301000,3440000,20,8.21,Floating,5062842,45035.0,57.92,706,2026-07-22,29125.21,2026-08-22,90+_DPD,153,21.9,Yes,Yes
MORT500033,CUST10033,SBI001,2023-03-06,2053-03-06,Bhubaneswar,Odisha,Villa,Home Purchase,18829000,13821000,5008000,30,10.04,Floating,13559374,121697.9,72.01,755,2026-08-15,121556.35,2026-09-15,Current,0,26.6,Yes,Yes
MORT500034,CUST10034,KOTAK001,2021-11-17,2046-11-17,Bengaluru,Karnataka,Apartment,Balance Transfer,13046000,8799000,4247000,25,7.28,Floating,7974197,63769.94,61.12,744,2026-07-20,64265.53,2026-08-06,Current,0,21.4,Yes,Yes
MORT500035,CUST10035,KOTAK001,2020-03-17,2035-03-17,Bengaluru,Karnataka,Independent House,Balance Transfer,7114000,4449000,2665000,15,7.75,Floating,3248952,41877.36,45.67,620,2026-08-28,42195.43,2026-09-12,Current,0,33.7,Yes,Yes
MORT500036,CUST10036,PNB001,2019-01-16,2039-01-16,Delhi,Delhi,Villa,Home Purchase,11962000,9395000,2567000,20,9.64,Floating,7693373,88434.42,64.32,745,2026-08-05,89274.18,2026-09-06,Current,0,48.1,Yes,No
MORT500037,CUST10037,KOTAK001,2025-02-20,2045-02-20,Bhubaneswar,Odisha,Independent House,Home Purchase,12645000,10409000,2236000,20,8.75,Floating,10208029,91985.45,80.73,749,2026-08-01,94653.18,2026-08-20,Current,0,31.9,Yes,No
MORT500038,CUST10038,ICICI001,2021-11-16,2041-11-16,Hyderabad,Telangana,Apartment,Balance Transfer,14588000,10037000,4551000,20,8.36,Floating,8652012,86216.11,59.31,838,2026-09-08,88260.8,2026-09-25,Current,0,35.5,No,No
MORT500039,CUST10039,SBI001,2023-10-19,2033-10-19,Bhubaneswar,Odisha,Apartment,Home Purchase,6301000,3992000,2309000,10,7.38,Fixed,3085001,47136.1,48.96,681,2026-08-30,46951.29,2026-09-26,Current,0,43.6,Yes,Yes
MORT500040,CUST10040,KOTAK001,2024-08-11,2049-08-11,Chennai,Tamil Nadu,Independent House,Home Purchase,3874000,2452000,1422000,25,9.46,Floating,2391336,21354.9,61.73,749,2026-08-26,21421.67,2026-09-23,Current,0,37.8,Yes,Yes
MORT500041,CUST10041,SBI001,2021-07-03,2046-07-03,Pune,Maharashtra,Independent House,Home Purchase,14013000,9944000,4069000,25,8.51,Fixed,9198229,80138.8,65.64,715,2026-08-07,79383.29,2026-09-07,Current,0,50.2,Yes,Yes
MORT500042,CUST10042,PNB001,2019-04-25,2039-04-25,Chennai,Tamil Nadu,Plot + Construction,Home Purchase,20256000,14170000,6086000,20,8.79,Fixed,11613124,125583.7,57.33,710,2026-08-26,124853.9,2026-09-19,Current,0,50.3,Yes,Yes
MORT500043,CUST10043,ICICI001,2020-11-24,2040-11-24,Kolkata,West Bengal,Villa,Home Purchase,9933000,8245000,1688000,20,7.81,Fixed,6818248,67992.74,68.64,825,2026-09-01,66905.65,2026-09-24,Current,0,20.3,Yes,Yes
MORT500044,CUST10044,SBI001,2022-08-06,2042-08-06,Delhi,Delhi,Villa,Home Construction,24313000,19685000,4628000,20,7.91,Floating,17453384,163552.34,71.79,757,2026-07-04,164656.62,2026-08-02,Current,0,47.2,Yes,No
MORT500045,CUST10045,SBI001,2023-06-26,2043-06-26,Delhi,Delhi,Apartment,Home Purchase,12072000,8478000,3594000,20,7.46,Floating,7681915,68090.98,63.63,697,2026-07-19,67986.22,2026-08-03,Current,0,36.1,Yes,No
MORT500046,CUST10046,AXIS001,2022-02-13,2047-02-13,Delhi,Delhi,Independent House,Home Purchase,4477000,2649000,1828000,25,7.47,Fixed,2450720,19524.21,54.74,774,2026-08-29,19944.59,2026-09-17,Current,0,54.6,Yes,Yes
MORT500047,CUST10047,SBI001,2021-09-02,2036-09-02,Ahmedabad,Gujarat,Independent House,Home Purchase,3996000,3086000,910000,15,9.75,Floating,2411152,32691.93,60.34,801,2026-07-03,33125.42,2026-08-05,Current,0,36.9,No,Yes
MORT500048,CUST10048,SBI001,2023-10-25,2048-10-25,Kolkata,West Bengal,Independent House,Home Purchase,12669000,9681000,2988000,25,9.07,Floating,9329392,81707.16,73.64,795,2026-07-25,83748.1,2026-08-25,Current,0,54.5,No,Yes
MORT500049,CUST10049,AXIS001,2021-07-19,2041-07-19,Hyderabad,Telangana,Independent House,Home Purchase,9988000,7682000,2306000,20,7.63,Floating,0,62497.75,0.0,786,2026-07-13,30366.2,2026-08-01,Closed,0,46.4,Yes,Yes
MORT500050,CUST10050,ICICI001,2023-11-10,2043-11-10,Chennai,Tamil Nadu,Villa,Home Purchase,20978000,12234000,8744000,20,7.5,Floating,11147926,98556.27,53.14,847,2026-07-09,100388.84,2026-08-04,Current,0,28.7,Yes,No
MORT500051,CUST10051,AXIS001,2022-04-26,2037-04-26,Kolkata,West Bengal,Villa,Balance Transfer,10278000,6213000,4065000,15,8.94,Floating,5095876,62794.82,49.58,795,2026-07-07,63458.73,2026-08-08,Current,0,38.8,Yes,Yes
MORT500052,CUST10052,PNB001,2022-04-05,2047-04-05,Pune,Maharashtra,Apartment,Balance Transfer,18413000,10970000,7443000,25,9.01,Floating,10336990,92134.97,56.14,756,2026-08-15,92369.18,2026-09-09,Current,0,54.7,Yes,No
MORT500053,CUST10053,ICICI001,2024-04-22,2049-04-22,Bhubaneswar,Odisha,Independent House,Home Purchase,9973000,6417000,3556000,25,9.01,Floating,6211176,53895.18,62.28,818,2026-06-30,54265.43,2026-08-03,Current,0,50.0,Yes,Yes
MORT500054,CUST10054,ICICI001,2020-11-02,2045-11-02,Kolkata,West Bengal,Independent House,Home Purchase,15709000,8795000,6914000,25,7.88,Floating,7806857,67183.58,49.7,727,2026-08-09,67057.25,2026-08-24,Current,0,23.4,Yes,Yes
MORT500055,CUST10055,PNB001,2020-05-17,2035-05-17,Bengaluru,Karnataka,Apartment,Home Purchase,24124000,14344000,9780000,15,7.37,Floating,9905846,131913.21,41.06,701,2026-07-25,131579.39,2026-08-27,Current,0,44.7,No,No
MORT500056,CUST10056,ICICI001,2023-08-19,2033-08-19,Delhi,Delhi,Plot + Construction,Home Purchase,19949000,13685000,6264000,10,8.49,Floating,10619119,169601.23,53.23,698,2026-08-10,173517.2,2026-09-01,Current,0,32.1,Yes,Yes
MORT500057,CUST10057,ICICI001,2021-02-01,2031-02-01,Pune,Maharashtra,Apartment,Home Purchase,6013000,4599000,1414000,10,7.19,Floating,2478064,53849.73,41.21,799,2026-08-27,54305.95,2026-09-25,Current,0,20.2,Yes,Yes
